,date,conversion_rate
1,2021-04-01,31.194
2,2021-04-02,31.29
3,2021-04-03,31.256
4,2021-04-04,31.244
5,2021-04-05,31.342
6,2021-04-06,31.288
7,2021-04-07,31.387
8,2021-04-08,31.433
9,2021-04-09,31.451
10,2021-04-10,31.454
11,2021-04-11,31.462
12,2021-04-12,31.482
13,2021-04-13,31.496
14,2021-04-14,31.329
15,2021-04-15,31.165
16,2021-04-16,31.203
17,2021-04-17,31.204
18,2021-04-18,31.226
19,2021-04-19,31.203
20,2021-04-20,31.281
21,2021-04-21,31.3
22,2021-04-22,31.378
23,2021-04-23,31.412
24,2021-04-24,31.411
25,2021-04-25,31.421
26,2021-04-26,31.427
27,2021-04-27,31.355
28,2021-04-28,31.344
29,2021-04-29,31.197
30,2021-04-30,31.139
31,2021-05-01,31.14
32,2021-05-02,31.122
33,2021-05-03,31.132
34,2021-05-04,31.188
35,2021-05-05,31.13
36,2021-05-06,31.226
37,2021-05-07,31.042
38,2021-05-08,31.042
39,2021-05-09,31.033
40,2021-05-10,31.107
41,2021-05-11,31.158
42,2021-05-12,31.304
43,2021-05-13,31.344
44,2021-05-14,31.33
45,2021-05-15,31.33
46,2021-05-16,31.365
47,2021-05-17,31.492
48,2021-05-18,31.42
49,2021-05-19,31.413
50,2021-05-20,31.378
51,2021-05-21,31.361
52,2021-05-22,31.361
53,2021-05-23,31.37
54,2021-05-24,31.323
55,2021-05-25,31.328
56,2021-05-26,31.281
57,2021-05-27,31.297
58,2021-05-28,31.257
59,2021-05-29,31.252
60,2021-05-30,31.238
61,2021-05-31,31.193
62,2021-06-01,31.169
63,2021-06-02,31.108
64,2021-06-03,31.209
65,2021-06-04,31.125
66,2021-06-05,31.125
67,2021-06-06,31.133
68,2021-06-07,31.176
69,2021-06-08,31.202
70,2021-06-09,31.167
71,2021-06-10,31.14
72,2021-06-11,31.092
73,2021-06-12,31.074
74,2021-06-13,31.077
75,2021-06-14,31.117
76,2021-06-15,31.162
77,2021-06-16,31.297
78,2021-06-17,31.422
79,2021-06-18,31.439
80,2021-06-19,31.437
81,2021-06-20,31.461
82,2021-06-21,31.617
83,2021-06-22,31.681
84,2021-06-23,31.825
85,2021-06-24,31.898
86,2021-06-25,31.816
87,2021-06-26,31.816
88,2021-06-27,31.785
89,2021-06-28,31.918
90,2021-06-29,32.108
91,2021-06-30,32.029
92,2021-07-01,32.073
93,2021-07-02,32.126
94,2021-07-03,32.125
95,2021-07-04,32.136
96,2021-07-05,32.112
97,2021-07-06,32.271
98,2021-07-07,32.334
99,2021-07-08,32.534
100,2021-07-09,32.512
101,2021-07-10,32.482
102,2021-07-11,32.506
103,2021-07-12,32.664
104,2021-07-13,32.654
105,2021-07-14,32.605
106,2021-07-15,32.686
107,2021-07-16,32.783
108,2021-07-17,32.795
109,2021-07-18,32.807
110,2021-07-19,32.854
111,2021-07-20,32.829
112,2021-07-21,32.857
113,2021-07-22,32.887
114,2021-07-23,32.928
115,2021-07-24,32.963
116,2021-07-25,32.94
117,2021-07-26,32.929
118,2021-07-27,32.937
119,2021-07-28,32.82
120,2021-07-29,32.87
121,2021-07-30,32.887
122,2021-07-31,32.887
123,2021-08-01,32.895
124,2021-08-02,32.957
125,2021-08-03,33.022
126,2021-08-04,33.137
127,2021-08-05,33.263
128,2021-08-06,33.45
129,2021-08-07,33.422
130,2021-08-08,33.395
131,2021-08-09,33.464
132,2021-08-10,33.46
133,2021-08-11,33.145
134,2021-08-12,33.084
